eid,account_number_num_fraud_transactions_per_account_number_7day,account_number_num_fraud_transactions_per_account_number_1day,account_number_num_fraud_transactions_per_account_number_30day,account_number_num_fraud_transactions_per_account_number_90day,account_number_num_order_items_per_account_number_lifetime,num_order_items,account_number_num_fraud_transactions_per_account_number_lifetime,account_number_avg_order_total_per_account_number_30day,account_number_avg_order_total_per_account_number_1day,account_number_sum_order_total_per_account_number_1day,account_number_sum_order_total_per_account_number_7day,account_number_num_order_items_per_account_number_1day,account_number_num_order_items_per_account_number_90day,account_number_avg_order_total_per_account_number_90day,account_number_sum_order_total_per_account_number_90day,account_number_avg_order_total_per_account_number_7day,account_number_num_order_items_per_account_number_30day,account_number_num_order_items_per_account_number_7day,account_number_num_distinct_transaction_per_account_number_7day,order_total,account_number_num_distinct_transaction_per_account_number_90day,account_number_sum_order_total_per_account_number_30day,account_number_num_distinct_transaction_per_account_number_30day,account_number_num_distinct_transaction_per_account_number_1day,is_existing_user_1,is_existing_user_0,status_New,status_Pending,is_billing_shipping_city_same_1,is_billing_shipping_city_same_0,num_order_items_IsNull,order_total_IsNull
650-2691412-5537437,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
851-8081974-6886942,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
725-6841849-5464205,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
251-1531877-6116527,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
626-0204179-8731020,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,0,1,1,0,1,0,0,1
684-9447967-7696628,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,0,1,0,1
805-4414067-4501338,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
076-0467175-7500552,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
665-7301511-0800847,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
213-2918909-3094027,0,0,0,0,2,2.0,0,192.95,192.95,192.95,192.95,2,2,192.95,192.95,192.95,2,2,1,192.95,1,192.95,1,1,1,0,1,0,1,0,0,0
581-0888281-9298701,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
516-2490913-2393204,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
350-6569215-7690833,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
222-2189124-1314969,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
010-9765247-1587546,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
789-3162568-6147003,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
508-6821124-5030330,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
617-4941168-0009807,0,0,0,0,2,2.0,0,192.95,192.95,192.95,192.95,2,2,192.95,192.95,192.95,2,2,1,192.95,1,192.95,1,1,0,1,1,0,1,0,0,0
616-9114676-0801318,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
850-3944622-0215102,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
699-5311924-1051393,0,0,0,0,2,2.0,0,520.7,520.7,520.7,520.7,2,2,520.7,520.7,520.7,2,2,1,520.7,1,520.7,1,1,1,0,1,0,1,0,0,0
554-9214712-3971677,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
119-6642169-0466996,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
870-6669198-5831554,0,0,0,0,2,0.0,0,131.475,0.0,0.0,0.0,0,2,131.475,262.95,0.0,0,0,1,160.20269675925925,2,262.95,2,1,1,0,1,0,0,1,0,1
887-3830343-5563880,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
799-1530129-4473593,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
780-7700907-6171159,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
863-6308029-2567259,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
207-7017607-5406405,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
210-3643565-0957455,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
439-2000893-5799029,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
012-6523402-1074989,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
650-5888114-0139218,0,0,0,0,2,2.0,0,19.0,19.0,19.0,19.0,2,2,19.0,19.0,19.0,2,2,1,19.0,1,19.0,1,1,1,0,1,0,0,1,0,0
053-3922670-9598506,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
593-4385790-3036894,0,0,0,0,3,3.0,0,173.24,173.24,173.24,173.24,3,3,173.24,173.24,173.24,3,3,1,173.24,1,173.24,1,1,1,0,1,0,1,0,0,0
579-9575848-1046175,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
896-9281067-2898910,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
038-8188225-8057715,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
626-5034565-9998464,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
511-3531841-4937472,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
583-6019154-8634640,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
235-1467083-7627731,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
025-4016172-7065489,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
575-4248977-1821963,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,0,1,0,1
835-6786921-8783764,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,0,1,0,0
429-4167326-6946311,0,0,0,0,3,3.0,0,14.0,14.0,14.0,14.0,3,3,14.0,14.0,14.0,3,3,1,14.0,1,14.0,1,1,1,0,1,0,1,0,0,0
735-4499247-5351217,0,0,0,0,2,2.0,0,192.95,192.95,192.95,192.95,2,2,192.95,192.95,192.95,2,2,1,192.95,1,192.95,1,1,1,0,1,0,0,1,0,0
982-6637876-7714010,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
400-3988207-4844106,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
945-9007892-1856830,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
300-6374117-9842093,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
552-4606430-9301861,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
094-2989562-9961553,0,0,0,0,2,2.0,0,412.95,412.95,412.95,412.95,2,2,412.95,412.95,412.95,2,2,1,412.95,1,412.95,1,1,1,0,1,0,1,0,0,0
765-0288645-6066877,0,0,0,0,3,3.0,0,7.0,14.0,14.0,14.0,3,3,7.0,14.0,14.0,3,3,1,14.0,2,14.0,2,1,1,0,1,0,1,0,0,0
240-3026583-4937972,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
134-6653295-3213726,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
393-8675169-4354962,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
050-6567198-7382452,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,0,1,1,0,1,0,0,1
487-5015415-4694835,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
134-5048606-9986248,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
367-8185270-4599514,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,0,1,1,0,1,0,0,1
428-8095027-4273566,1,1,1,1,2,2.0,1,922.43,922.43,922.43,922.43,2,2,922.43,922.43,922.43,2,2,1,922.43,1,922.43,1,1,0,1,1,0,0,1,0,0
346-1635782-4493272,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
239-2946306-0214560,0,0,0,0,2,2.0,0,192.95,192.95,192.95,192.95,2,2,192.95,192.95,192.95,2,2,1,192.95,1,192.95,1,1,1,0,1,0,1,0,0,0
005-9398123-2490819,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
137-2818826-6705180,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
115-5890764-9169509,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
372-8143290-5747141,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
163-1042631-2993635,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
766-6735542-4664860,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
261-0601556-9080159,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
405-7309004-4980410,0,0,0,0,2,2.0,0,412.95,412.95,412.95,412.95,2,2,412.95,412.95,412.95,2,2,1,412.95,1,412.95,1,1,1,0,1,0,1,0,0,0
967-9092841-6377750,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
394-5750299-2152261,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
909-6052858-6113333,0,0,0,0,2,2.0,0,492.95,492.95,492.95,492.95,2,2,492.95,492.95,492.95,2,2,1,492.95,1,492.95,1,1,1,0,1,0,1,0,0,0
861-6519161-9995992,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,0,1,1,0,1,0,0,1
352-4540695-3453332,0,0,0,0,2,2.0,0,162.95,162.95,162.95,162.95,2,2,162.95,162.95,162.95,2,2,1,162.95,1,162.95,1,1,0,1,1,0,1,0,0,0
621-1856313-8052278,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,0,1,0,1
029-5122161-6017740,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
557-1338813-1959455,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
729-2934644-5555801,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
556-7848662-7007814,0,0,0,0,4,2.0,0,113.475,113.475,226.95,226.95,4,4,113.475,226.95,113.475,4,4,2,34.0,2,226.95,2,2,1,0,1,0,1,0,0,0
837-5170988-8412845,1,1,1,1,2,2.0,1,202.43,202.43,202.43,202.43,2,2,202.43,202.43,202.43,2,2,1,202.43,1,202.43,1,1,0,1,1,0,1,0,0,0
544-2271712-2460964,0,0,0,0,3,3.0,0,199.0,199.0,199.0,199.0,3,3,199.0,199.0,199.0,3,3,1,199.0,1,199.0,1,1,1,0,1,0,1,0,0,0
101-0044942-5262895,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
574-8013302-1630190,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
910-7136757-1774658,0,0,0,0,3,3.0,0,199.0,199.0,199.0,199.0,3,3,199.0,199.0,199.0,3,3,1,199.0,1,199.0,1,1,1,0,1,0,1,0,0,0
881-2842901-7282592,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
912-4989114-8694251,0,0,0,0,3,3.0,0,14.0,14.0,14.0,14.0,3,3,14.0,14.0,14.0,3,3,1,14.0,1,14.0,1,1,1,0,1,0,1,0,0,0
477-9979802-7457034,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
901-6433381-7262045,0,0,0,0,2,2.0,0,162.95,162.95,162.95,162.95,2,2,162.95,162.95,162.95,2,2,1,162.95,1,162.95,1,1,0,1,1,0,1,0,0,0
729-7082941-8900636,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
467-7714516-5199680,0,0,0,0,2,2.0,0,212.95,212.95,212.95,212.95,2,2,212.95,212.95,212.95,2,2,1,212.95,1,212.95,1,1,1,0,1,0,0,1,0,0
081-0805136-5816975,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
977-4548682-1492672,0,0,0,0,3,3.0,0,5.0,5.0,5.0,5.0,3,3,5.0,5.0,5.0,3,3,1,5.0,1,5.0,1,1,1,0,1,0,1,0,0,0
524-4297908-6396315,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
646-6409655-4009437,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
734-5590525-7483171,0,0,0,0,2,2.0,0,412.95,412.95,412.95,412.95,2,2,412.95,412.95,412.95,2,2,1,412.95,1,412.95,1,1,0,1,1,0,1,0,0,0
355-2384139-3209798,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
676-9434954-2298962,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
615-0274481-8185052,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
406-8886945-2998699,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
691-1035350-1694544,0,0,0,0,2,2.0,0,162.95,162.95,162.95,162.95,2,2,162.95,162.95,162.95,2,2,1,162.95,1,162.95,1,1,1,0,1,0,1,0,0,0
673-3813356-5736498,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
012-1442133-1593529,0,0,0,0,2,2.0,0,212.95,212.95,212.95,212.95,2,2,212.95,212.95,212.95,2,2,1,212.95,1,212.95,1,1,1,0,1,0,1,0,0,0
922-8515816-6659287,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,3,160.20269675925925,3,0.0,3,1,1,0,1,0,1,0,0,1
413-8368390-3801881,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
260-1285487-5172007,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
381-8587738-8464946,0,0,0,0,2,2.0,0,512.95,512.95,512.95,512.95,2,2,512.95,512.95,512.95,2,2,1,512.95,1,512.95,1,1,1,0,1,0,1,0,0,0
721-0022950-4188440,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
